"jurisdiction"	"value"	"race_ethnicity"	"year"	"measure"
"Montgomery"	"3.25"	"Black or African American"	"2020"	"Child Maltreatment"
"Somerset"	"6.59"	"Black or African American"	"2020"	"Child Maltreatment"
"Talbot"	"7.75"	"Black or African American"	"2020"	"Child Maltreatment"
"Washington"	"6.5"	"Black or African American"	"2020"	"Child Maltreatment"
"Wicomico"	"5.76"	"Black or African American"	"2020"	"Child Maltreatment"
"Worcester"	"13.34"	"Black or African American"	"2020"	"Child Maltreatment"
"Prince George's"	"3.37"	"Black or African American"	"2020"	"Child Maltreatment"
"Queen Anne's"	"2.69"	"Black or African American"	"2020"	"Child Maltreatment"
"Saint Mary's"	"2.59"	"Black or African American"	"2020"	"Child Maltreatment"
"State"	"5.25502"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Allegany"	"19.1257"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Anne Arundel"	"3.09785"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore City"	"9.78592"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore County"	"4.88263"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Calvert"	"7.26895"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Caroline"	"7.12025"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Carroll"	"1.80505"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Cecil"	"6.77507"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Charles"	"1.28578"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Dorchester"	"12.2143"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Frederick"	"4.51613"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Garrett"		"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Harford"	"11.1664"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Howard"	"2.78716"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Kent"		"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Montgomery"	"3.5461"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Somerset"	"6.87679"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Talbot"	"8.51466"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Washington"	"6.81464"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Wicomico"	"6.00122"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Worcester"	"13.8554"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Prince George's"	"3.64499"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Queen Anne's"	"2.90698"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Saint Mary's"	"2.71399"	"Black or African American Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Prince George's"	"2.52719"	"Hispanic"	"2020"	"Child Maltreatment"
"Queen Anne's"	"8.27423"	"Hispanic"	"2020"	"Child Maltreatment"
"Saint Mary's"	"1.49626"	"Hispanic"	"2020"	"Child Maltreatment"
"State"	"2.71381"	"Hispanic"	"2020"	"Child Maltreatment"
"Allegany"		"Hispanic"	"2020"	"Child Maltreatment"
"Anne Arundel"	"1.3648"	"Hispanic"	"2020"	"Child Maltreatment"
"Baltimore City"	"5.86081"	"Hispanic"	"2020"	"Child Maltreatment"
"Baltimore County"	"3.1512"	"Hispanic"	"2020"	"Child Maltreatment"
"Calvert"	"2.97841"	"Hispanic"	"2020"	"Child Maltreatment"
"Caroline"	"3.45125"	"Hispanic"	"2020"	"Child Maltreatment"
"Carroll"		"Hispanic"	"2020"	"Child Maltreatment"
"Cecil"	"3.97727"	"Hispanic"	"2020"	"Child Maltreatment"
"Charles"	"1.60171"	"Hispanic"	"2020"	"Child Maltreatment"
"Dorchester"	"6.72948"	"Hispanic"	"2020"	"Child Maltreatment"
"Frederick"	"2.20588"	"Hispanic"	"2020"	"Child Maltreatment"
"Garrett"		"Hispanic"	"2020"	"Child Maltreatment"
"Harford"	"4.60358"	"Hispanic"	"2020"	"Child Maltreatment"
"Howard"	"1.3431"	"Hispanic"	"2020"	"Child Maltreatment"
"Kent"		"Hispanic"	"2020"	"Child Maltreatment"
"Montgomery"	"2.75399"	"Hispanic"	"2020"	"Child Maltreatment"
"Somerset"		"Hispanic"	"2020"	"Child Maltreatment"
"Talbot"	"0.882613"	"Hispanic"	"2020"	"Child Maltreatment"
"Washington"	"3.47771"	"Hispanic"	"2020"	"Child Maltreatment"
"Wicomico"	"1.75285"	"Hispanic"	"2020"	"Child Maltreatment"
"Worcester"	"4.74684"	"Hispanic"	"2020"	"Child Maltreatment"
"Prince George's"	"1.24"	"White"	"2020"	"Child Maltreatment"
"Queen Anne's"	"0.51"	"White"	"2020"	"Child Maltreatment"
"Saint Mary's"	"1.99"	"White"	"2020"	"Child Maltreatment"
"State"	"2.19"	"White"	"2020"	"Child Maltreatment"
"Allegany"	"6.26"	"White"	"2020"	"Child Maltreatment"
"Anne Arundel"	"1.78"	"White"	"2020"	"Child Maltreatment"
"Baltimore City"	"3.42"	"White"	"2020"	"Child Maltreatment"
"Baltimore County"	"2.43"	"White"	"2020"	"Child Maltreatment"
"Calvert"	"2.06"	"White"	"2020"	"Child Maltreatment"
"Caroline"	"4.16"	"White"	"2020"	"Child Maltreatment"
"Carroll"	"1.62"	"White"	"2020"	"Child Maltreatment"
"Cecil"	"4.39"	"White"	"2020"	"Child Maltreatment"
"Charles"	"1.93"	"White"	"2020"	"Child Maltreatment"
"Dorchester"	"3.66"	"White"	"2020"	"Child Maltreatment"
"Frederick"	"1.94"	"White"	"2020"	"Child Maltreatment"
"Garrett"	"10.56"	"White"	"2020"	"Child Maltreatment"
"Harford"	"4.3"	"White"	"2020"	"Child Maltreatment"
"Howard"	"0.87"	"White"	"2020"	"Child Maltreatment"
"Kent"	"3.92"	"White"	"2020"	"Child Maltreatment"
"Montgomery"	"0.87"	"White"	"2020"	"Child Maltreatment"
"Somerset"	"5.81"	"White"	"2020"	"Child Maltreatment"
"Talbot"	"2.8"	"White"	"2020"	"Child Maltreatment"
"Washington"	"2.75"	"White"	"2020"	"Child Maltreatment"
"Wicomico"	"4.21"	"White"	"2020"	"Child Maltreatment"
"Worcester"	"8.08"	"White"	"2020"	"Child Maltreatment"
"State"	"2.46793"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Allegany"	"6.40615"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Anne Arundel"	"1.98128"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore City"	"4.07341"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore County"	"2.51835"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Calvert"	"1.95635"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Caroline"	"4.68867"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Carroll"	"1.72293"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Cecil"	"4.56866"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Charles"	"2.02086"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Dorchester"	"3.63086"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Frederick"	"1.90545"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Garrett"	"10.7935"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Harford"	"4.37648"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Howard"	"0.865826"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Kent"	"4.27553"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Montgomery"	"0.728275"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Somerset"	"6.74699"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Talbot"	"3.38448"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Washington"	"2.84816"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Wicomico"	"4.87465"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Worcester"	"8.62069"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Prince George's"	"1.4973"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Queen Anne's"	"0.554754"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Saint Mary's"	"2.00979"	"White Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"State"	"4.57785"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Prince George's"	"3.93415"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Queen Anne's"	"4.36722"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Saint Mary's"	"4.24636"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Allegany"	"8.55615"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Anne Arundel"	"3.50613"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Baltimore City"	"10.3676"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Baltimore County"	"3.65604"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Calvert"	"3.19099"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Caroline"	"6.22222"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Carroll"	"2.50275"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Cecil"	"11.339"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Charles"	"2.62474"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Dorchester"	"8.04769"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Frederick"	"3.76729"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Garrett"	"10.1332"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Harford"	"7.45517"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Howard"	"2.02819"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Kent"	"6.002"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Montgomery"	"2.45908"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Somerset"	"7.38689"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Talbot"	"4.87661"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Washington"	"7.62986"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Wicomico"	"6.91325"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Worcester"	"14.6067"	"All races/ ethnicities (aggregated)"	"2021"	"Child Maltreatment"
"Prince George's"	"0.617761"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Queen Anne's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Saint Mary's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"State"	"0.554215"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Allegany"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Anne Arundel"	"0.863111"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore City"	"0.416667"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore County"	"1.09026"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Calvert"	"1.57729"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Caroline"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Carroll"	"1.87793"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Cecil"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Charles"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Dorchester"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Frederick"	"0.538213"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Garrett"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Harford"	"0.467946"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Howard"	"0.174378"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Kent"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Montgomery"	"0.523621"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Somerset"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Talbot"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Washington"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Wicomico"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Worcester"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"State"	"4.37"	"Black or African American"	"2021"	"Child Maltreatment"
"Allegany"	"14.32"	"Black or African American"	"2021"	"Child Maltreatment"
"Anne Arundel"	"5.21"	"Black or African American"	"2021"	"Child Maltreatment"
"Baltimore City"	"8.62"	"Black or African American"	"2021"	"Child Maltreatment"
"Baltimore County"	"3.78"	"Black or African American"	"2021"	"Child Maltreatment"
"Calvert"	"4.58"	"Black or African American"	"2021"	"Child Maltreatment"
"Caroline"	"2.21"	"Black or African American"	"2021"	"Child Maltreatment"
"Carroll"	"3.92"	"Black or African American"	"2021"	"Child Maltreatment"
"Cecil"	"5.66"	"Black or African American"	"2021"	"Child Maltreatment"
"Charles"	"2.34"	"Black or African American"	"2021"	"Child Maltreatment"
"Dorchester"	"7.73"	"Black or African American"	"2021"	"Child Maltreatment"
"Prince George's"	"1.89"	"Black or African American"	"2021"	"Child Maltreatment"
"Queen Anne's"	"8.08"	"Black or African American"	"2021"	"Child Maltreatment"
"Saint Mary's"	"4.19"	"Black or African American"	"2021"	"Child Maltreatment"
"Frederick"	"4.04"	"Black or African American"	"2021"	"Child Maltreatment"
"Garrett"		"Black or African American"	"2021"	"Child Maltreatment"
"Harford"	"8.95"	"Black or African American"	"2021"	"Child Maltreatment"
"Howard"	"3.19"	"Black or African American"	"2021"	"Child Maltreatment"
"Kent"	"6.26"	"Black or African American"	"2021"	"Child Maltreatment"
"Montgomery"	"2.71"	"Black or African American"	"2021"	"Child Maltreatment"
"Somerset"	"4.95"	"Black or African American"	"2021"	"Child Maltreatment"
"Talbot"	"6.88"	"Black or African American"	"2021"	"Child Maltreatment"
"Washington"	"8.67"	"Black or African American"	"2021"	"Child Maltreatment"
"Wicomico"	"6.58"	"Black or African American"	"2021"	"Child Maltreatment"
"Worcester"	"15.66"	"Black or African American"	"2021"	"Child Maltreatment"
"State"	"4.59526"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Allegany"	"15.0273"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Anne Arundel"	"5.51568"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore City"	"8.77108"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore County"	"3.91236"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Calvert"	"4.84597"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Caroline"	"2.37342"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Carroll"	"4.21179"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Cecil"	"6.3234"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Charles"	"2.19058"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Dorchester"	"8.27423"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Frederick"	"4.51613"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Garrett"		"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Harford"	"9.28967"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Howard"	"3.32315"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Prince George's"	"2.03741"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Queen Anne's"	"8.72093"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Saint Mary's"	"4.38413"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Kent"	"6.56814"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Montgomery"	"2.87522"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Somerset"	"5.15759"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Talbot"	"7.56859"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Washington"	"9.15109"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Wicomico"	"6.85854"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Worcester"	"16.2651"	"Black or African American Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Saint Mary's"	"1.99501"	"Hispanic"	"2021"	"Child Maltreatment"
"State"	"2.33651"	"Hispanic"	"2021"	"Child Maltreatment"
"Allegany"		"Hispanic"	"2021"	"Child Maltreatment"
"Anne Arundel"	"2.2178"	"Hispanic"	"2021"	"Child Maltreatment"
"Baltimore City"	"4.2328"	"Hispanic"	"2021"	"Child Maltreatment"
"Baltimore County"	"3.20747"	"Hispanic"	"2021"	"Child Maltreatment"
"Calvert"	"2.97841"	"Hispanic"	"2021"	"Child Maltreatment"
"Caroline"	"1.72563"	"Hispanic"	"2021"	"Child Maltreatment"
"Carroll"	"1.80261"	"Hispanic"	"2021"	"Child Maltreatment"
"Cecil"	"3.40909"	"Hispanic"	"2021"	"Child Maltreatment"
"Charles"	"1.86866"	"Hispanic"	"2021"	"Child Maltreatment"
"Dorchester"	"1.3459"	"Hispanic"	"2021"	"Child Maltreatment"
"Frederick"	"2.94118"	"Hispanic"	"2021"	"Child Maltreatment"
"Garrett"	"8.77193"	"Hispanic"	"2021"	"Child Maltreatment"
"Harford"	"3.32481"	"Hispanic"	"2021"	"Child Maltreatment"
"Howard"	"2.1978"	"Hispanic"	"2021"	"Child Maltreatment"
"Kent"	"4.20168"	"Hispanic"	"2021"	"Child Maltreatment"
"Montgomery"	"2.10332"	"Hispanic"	"2021"	"Child Maltreatment"
"Somerset"		"Hispanic"	"2021"	"Child Maltreatment"
"Talbot"	"3.53045"	"Hispanic"	"2021"	"Child Maltreatment"
"Washington"	"4.42618"	"Hispanic"	"2021"	"Child Maltreatment"
"Wicomico"	"2.62927"	"Hispanic"	"2021"	"Child Maltreatment"
"Worcester"	"6.32911"	"Hispanic"	"2021"	"Child Maltreatment"
"Prince George's"	"1.75944"	"Hispanic"	"2021"	"Child Maltreatment"
"Queen Anne's"		"Hispanic"	"2021"	"Child Maltreatment"
"State"	"2.09"	"White"	"2021"	"Child Maltreatment"
"Allegany"	"7.07"	"White"	"2021"	"Child Maltreatment"
"Anne Arundel"	"2.17"	"White"	"2021"	"Child Maltreatment"
"Baltimore City"	"3.39"	"White"	"2021"	"Child Maltreatment"
"Baltimore County"	"1.75"	"White"	"2021"	"Child Maltreatment"
"Calvert"	"2.06"	"White"	"2021"	"Child Maltreatment"
"Caroline"	"3.2"	"White"	"2021"	"Child Maltreatment"
"Carroll"	"0.99"	"White"	"2021"	"Child Maltreatment"
"Cecil"	"6.74"	"White"	"2021"	"Child Maltreatment"
"Charles"	"0.8"	"White"	"2021"	"Child Maltreatment"
"Dorchester"	"3.92"	"White"	"2021"	"Child Maltreatment"
"Frederick"	"2.24"	"White"	"2021"	"Child Maltreatment"
"Garrett"	"7.24"	"White"	"2021"	"Child Maltreatment"
"Harford"	"3.06"	"White"	"2021"	"Child Maltreatment"
"Howard"	"0.66"	"White"	"2021"	"Child Maltreatment"
"Kent"	"1.74"	"White"	"2021"	"Child Maltreatment"
"Montgomery"	"0.62"	"White"	"2021"	"Child Maltreatment"
"Somerset"	"7.48"	"White"	"2021"	"Child Maltreatment"
"Talbot"	"2.05"	"White"	"2021"	"Child Maltreatment"
"Washington"	"4.21"	"White"	"2021"	"Child Maltreatment"
"Wicomico"	"3.99"	"White"	"2021"	"Child Maltreatment"
"Worcester"	"7.79"	"White"	"2021"	"Child Maltreatment"
"Prince George's"	"0.96"	"White"	"2021"	"Child Maltreatment"
"Queen Anne's"	"2.06"	"White"	"2021"	"Child Maltreatment"
"Saint Mary's"	"2.61"	"White"	"2021"	"Child Maltreatment"
"State"	"2.43025"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Allegany"	"7.2298"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Anne Arundel"	"2.4004"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore City"	"4.48533"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Baltimore County"	"1.86191"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Calvert"	"2.07862"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Caroline"	"3.75094"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Carroll"	"1.0529"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Cecil"	"7.14862"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Charles"	"0.970011"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Dorchester"	"4.23601"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Frederick"	"2.0342"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Garrett"	"7.19568"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Harford"	"3.06856"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Howard"	"0.634939"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Kent"	"1.90024"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Montgomery"	"0.549007"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Somerset"	"8.6747"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Talbot"	"2.03069"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Washington"	"4.37851"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Wicomico"	"4.61351"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Worcester"	"8.46395"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Prince George's"	"1.8879"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Queen Anne's"	"2.21902"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Saint Mary's"	"2.67972"	"White Non-Hispanic/Latino"	"2021"	"Child Maltreatment"
"Prince George's"	"3.96396"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Queen Anne's"	"1.95131"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Saint Mary's"	"2.28934"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"State"	"4.66701"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Allegany"	"12.0938"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Anne Arundel"	"2.99417"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Baltimore City"	"10.3175"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Baltimore County"	"3.80698"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Calvert"	"3.5664"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Caroline"	"6.98413"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Carroll"	"2.9703"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Cecil"	"9.82429"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Charles"	"2.03289"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Dorchester"	"10.7303"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Frederick"	"4.2007"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Garrett"	"14.6369"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Harford"	"7.33151"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Howard"	"2.56059"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Kent"	"6.33545"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Montgomery"	"2.61174"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Somerset"	"7.84857"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Talbot"	"5.46771"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Washington"	"10.7428"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Wicomico"	"6.03258"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Worcester"	"13.8202"	"All races/ ethnicities (aggregated)"	"2022"	"Child Maltreatment"
"Prince George's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Queen Anne's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Saint Mary's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"State"	"0.597683"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Allegany"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Anne Arundel"	"1.03573"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Baltimore City"	"0.416667"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Baltimore County"	"0.545129"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Calvert"	"1.57729"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Caroline"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
"Carroll"	"1.87793"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2022"	"Child Maltreatment"
