Track	Artist	Album	Genre	Duration	Play Date	Play Time (ET)
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-04-29	20:51
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-30	20:07
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-04-30	20:23
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-04-30	20:27
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-04-30	20:31
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-04-30	20:45
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-04-30	20:58
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-04-30	21:14
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-01	20:18
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-05-01	20:32
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-05-01	20:46
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-05-01	20:57
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-05-01	21:00
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-05-02	20:14
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-05-02	20:29
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-05-02	20:36
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-05-02	20:43
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-05-02	20:56
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-05-02	20:59
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-02	21:12
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-05-03	20:21
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-05-03	20:34
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-05-04	20:14
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-05-04	20:22
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-05-04	20:30
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-04	20:43
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-05-04	20:58
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-05	20:05
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-05	20:16
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-05-05	20:26
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-05-05	20:42
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-05-05	20:51
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-05-06	20:28
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-05-06	20:40
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-05-06	20:52
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-05-06	20:55
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-05-06	20:59
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-05-06	21:10
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-05-06	21:26
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-05-06	21:32
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-05-07	20:14
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-05-07	20:24
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-07	20:35
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-05-07	20:39
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-05-07	20:55
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-07	21:01
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-05-07	21:11
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-08	20:22
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-08	20:26
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-05-08	20:31
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-08	20:36
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-05-09	20:28
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-05-09	20:34
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-05-09	20:39
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-05-09	20:53
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-05-09	21:00
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-05-09	21:12
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-05-09	21:23
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-05-09	21:29
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-05-10	20:19
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-05-10	20:27
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-05-10	20:35
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-10	20:41
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-05-10	20:47
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-11	20:03
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-05-11	20:09
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-11	20:20
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-05-11	20:33
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-05-11	20:40
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-05-11	20:44
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-05-12	20:26
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-12	20:31
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-13	20:30
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-05-13	20:44
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-05-14	20:25
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-05-14	20:33
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-05-14	20:39
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-05-14	20:47
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-14	20:52
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-14	20:55
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-05-14	21:03
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-05-15	20:30
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-05-15	20:33
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-05-16	20:20
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-16	20:24
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-05-17	20:21
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-17	20:31
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-17	20:36
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-05-17	20:49
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-05-18	20:24
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-05-18	20:35
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-05-18	20:45
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-05-19	20:03
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-05-19	20:14
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-05-19	20:24
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-19	20:34
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-05-19	20:48
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-05-19	21:01
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-19	21:07
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-05-20	20:23
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-20	20:33
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-20	20:39
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-05-20	20:50
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-05-20	20:57
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-05-21	20:19
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-05-21	20:31
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-05-21	20:46
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-05-21	20:54
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-05-22	20:21
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-05-22	20:35
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-05-22	20:39
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-23	20:29
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-05-23	20:44
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-05-23	20:58
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-05-23	21:09
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-23	21:25
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-23	21:37
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-05-24	20:12
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-05-24	20:19
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-24	20:23
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-24	20:27
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-05-24	20:30
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-25	20:19
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-05-25	20:23
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-05-25	20:29
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-05-25	20:35
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-05-25	20:40
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-05-26	20:26
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-05-26	20:41
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-05-26	20:51
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-05-26	21:00
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-26	21:10
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-05-26	21:16
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-05-26	21:22
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-05-27	20:25
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-05-27	20:28
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-05-27	20:33
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-05-27	20:45
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-05-27	21:01
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-05-27	21:11
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-05-28	20:16
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-28	20:26
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-05-28	20:37
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-28	20:42
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-05-28	20:49
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-05-28	21:00
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-05-28	21:04
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-05-29	20:19
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-05-29	20:26
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-05-29	20:39
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-05-30	20:26
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-05-30	20:37
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-05-30	20:42
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-05-30	20:54
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-05-30	20:58
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-05-30	21:09
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-05-31	20:09
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-05-31	20:24
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-05-31	20:33
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-06-01	20:12
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-06-01	20:22
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-01	20:35
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-06-01	20:48
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-01	21:04
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-06-01	21:10
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-06-02	20:19
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-06-02	20:24
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-02	20:31
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-02	20:45
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-02	20:50
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-06-02	21:03
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-02	21:06
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-02	21:09
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-06-03	20:21
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-03	20:29
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-06-03	20:45
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-03	20:51
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-03	21:00
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-04	20:28
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-06-04	20:36
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-04	20:50
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-04	20:54
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-04	21:07
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-04	21:16
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-04	21:27
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-04	21:32
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-06-05	20:10
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-06-05	20:14
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-06-05	20:28
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-05	20:34
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-06-05	20:46
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-06-06	20:19
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-06-06	20:22
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-06	20:34
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-07	20:05
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-07	20:21
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-06-07	20:37
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-06-07	20:45
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-06-07	20:55
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-07	21:09
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-07	21:13
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-06-08	20:02
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-06-08	20:18
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-09	20:18
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-06-09	20:34
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-06-09	20:37
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-06-09	20:46
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-06-09	20:58
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-06-09	21:05
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-09	21:13
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-09	21:28
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-10	20:28
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-06-10	20:36
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-06-10	20:39
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-10	20:45
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-06-10	20:53
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-06-11	20:16
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-06-11	20:26
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-06-11	20:42
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-06-11	20:54
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-11	21:06
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-11	21:12
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-06-11	21:20
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-06-12	20:04
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-06-12	20:18
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-12	20:27
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-06-12	20:32
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-12	20:46
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-13	20:03
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-13	20:13
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-06-13	20:25
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-06-13	20:37
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-06-13	20:53
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-13	21:06
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-06-13	21:13
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-06-14	20:15
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-06-14	20:22
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-06-14	20:29
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-14	20:33
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-06-14	20:49
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-14	21:04
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-14	21:17
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-15	20:11
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-15	20:25
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-15	20:29
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-06-15	20:35
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-06-15	20:39
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-06-15	20:46
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-15	20:54
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-16	20:21
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-16	20:28
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-06-17	20:03
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-06-17	20:12
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-17	20:21
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-17	20:27
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-06-17	20:40
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-17	20:44
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-06-17	20:55
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-06-17	21:09
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-18	20:17
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-18	20:24
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-19	20:14
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-19	20:19
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-06-19	20:29
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-20	20:19
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-20	20:35
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-20	20:47
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-20	20:52
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-06-20	21:07
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-20	21:16
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-20	21:19
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-21	20:27
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-06-21	20:34
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-06-21	20:49
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-06-21	20:59
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-21	21:05
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-22	20:02
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-22	20:07
